,FIPS_IN,FIPS_OUT,Res_State_Name,Res_County_Name,Work_State_Name,Work_County_Name,Workers in Commuting Flow,Population,Facility
0,6075,6001,California,Alameda County,California,San Francisco County,92246,1647386,75 Hawthorne Street
1,6075,6013,California,Contra Costa County,California,San Francisco County,58089,1135585,75 Hawthorne Street
2,6075,6041,California,Marin County,California,San Francisco County,27614,261748,75 Hawthorne Street
3,6075,6075,California,San Francisco County,California,San Francisco County,353484,871042,75 Hawthorne Street
4,6075,6081,California,San Mateo County,California,San Francisco County,81943,763610,75 Hawthorne Street
5,6075,6085,California,Santa Clara County,California,San Francisco County,14241,1958087,75 Hawthorne Street
6,6075,6095,California,Solano County,California,San Francisco County,8974,439903,75 Hawthorne Street
7,6075,6097,California,Sonoma County,California,San Francisco County,6811,509142,75 Hawthorne Street
0,46065,46065,South Dakota,Hughes County,South Dakota,Hughes County,8604,17843,420 South Garfield
1,46065,46117,South Dakota,Stanley County,South Dakota,Hughes County,1029,2996,420 South Garfield
2,46065,46119,South Dakota,Sully County,South Dakota,Hughes County,116,1408,420 South Garfield
0,6073,6065,California,Riverside County,California,San Diego County,43613,2388710,610 West Ash Street
1,6073,6073,California,San Diego County,California,San Diego County,1461502,3328647,610 West Ash Street
0,12057,12057,Florida,Hillsborough County,Florida,Hillsborough County,531016,1382695,Airport Executive C Building
1,12057,12101,Florida,Pasco County,Florida,Hillsborough County,52456,512082,Airport Executive C Building
2,12057,12103,Florida,Pinellas County,Florida,Hillsborough County,43617,968279,Airport Executive C Building
3,12057,12105,Florida,Polk County,Florida,Hillsborough County,11914,662431,Airport Executive C Building
0,2020,2020,Alaska,Anchorage Municipality,Alaska,Anchorage Municipality,151009,303152,Alaska Operations Office-Anchorage
1,2020,2170,Alaska,Matanuska-Susitna Borough,Alaska,Anchorage Municipality,11787,101160,Alaska Operations Office-Anchorage
0,39061,18029,Indiana,Dearborn County,Ohio,Hamilton County,8047,50090,Andrew W. Breidenbach Environmental Research Center
1,39061,21015,Kentucky,Boone County,Ohio,Hamilton County,10386,130136,Andrew W. Breidenbach Environmental Research Center
2,39061,21037,Kentucky,Campbell County,Ohio,Hamilton County,14899,93705,Andrew W. Breidenbach Environmental Research Center
3,39061,21117,Kentucky,Kenton County,Ohio,Hamilton County,18746,167765,Andrew W. Breidenbach Environmental Research Center
