Var1,FIPS_IN,FIPS_OUT,Res_State_Name,Res_County_Name,Work_State_Name,Work_County_Name,Workers in Commuting Flow,Facility
9262,6075,6001,California,Alameda County,California,San Francisco County,92246,75 Hawthorne Street
9267,6075,6013,California,Contra Costa County,California,San Francisco County,58089,75 Hawthorne Street
9278,6075,6041,California,Marin County,California,San Francisco County,27614,75 Hawthorne Street
9293,6075,6075,California,San Francisco County,California,San Francisco County,353484,75 Hawthorne Street
9296,6075,6081,California,San Mateo County,California,San Francisco County,81943,75 Hawthorne Street
9298,6075,6085,California,Santa Clara County,California,San Francisco County,14241,75 Hawthorne Street
9302,6075,6095,California,Solano County,California,San Francisco County,8974,75 Hawthorne Street
9303,6075,6097,California,Sonoma County,California,San Francisco County,6811,75 Hawthorne Street
105280,46065,46065,South Dakota,Hughes County,South Dakota,Hughes County,8604,420 South Garfield
105290,46065,46117,South Dakota,Stanley County,South Dakota,Hughes County,1029,420 South Garfield
105291,46065,46119,South Dakota,Sully County,South Dakota,Hughes County,116,420 South Garfield
9005,6073,6065,California,Riverside County,California,San Diego County,43613,610 West Ash Street
9008,6073,6073,California,San Diego County,California,San Diego County,1461502,610 West Ash Street
15821,12057,12057,Florida,Hillsborough County,Florida,Hillsborough County,531016,Airport Executive C Building
15839,12057,12101,Florida,Pasco County,Florida,Hillsborough County,52456,Airport Executive C Building
15840,12057,12103,Florida,Pinellas County,Florida,Hillsborough County,43617,Airport Executive C Building
15841,12057,12105,Florida,Polk County,Florida,Hillsborough County,11914,Airport Executive C Building
2465,2020,2020,Alaska,Anchorage Municipality,Alaska,Anchorage Municipality,151009,Alaska Operations Office-Anchorage
2475,2020,2170,Alaska,Matanuska-Susitna Borough,Alaska,Anchorage Municipality,11787,Alaska Operations Office-Anchorage
2790,2110,2110,Alaska,Juneau City and Borough,Alaska,Juneau City and Borough,17273,Alaska Operations Office-Juneau
89568,39061,18029,Indiana,Dearborn County,Ohio,Hamilton County,8047,Andrew W. Breidenbach Environmental Research Center
89600,39061,21015,Kentucky,Boone County,Ohio,Hamilton County,10386,Andrew W. Breidenbach Environmental Research Center
89604,39061,21037,Kentucky,Campbell County,Ohio,Hamilton County,14899,Andrew W. Breidenbach Environmental Research Center
89618,39061,21117,Kentucky,Kenton County,Ohio,Hamilton County,18746,Andrew W. Breidenbach Environmental Research Center
89698,39061,39017,Ohio,Butler County,Ohio,Hamilton County,48733,Andrew W. Breidenbach Environmental Research Center
89701,39061,39025,Ohio,Clermont County,Ohio,Hamilton County,38856,Andrew W. Breidenbach Environmental Research Center
89713,39061,39061,Ohio,Hamilton County,Ohio,Hamilton County,304920,Andrew W. Breidenbach Environmental Research Center
89749,39061,39165,Ohio,Warren County,Ohio,Hamilton County,27975,Andrew W. Breidenbach Environmental Research Center
49342,24003,24003,Maryland,Anne Arundel County,Maryland,Anne Arundel County,168876,Annapolis City Marina
49343,24003,24005,Maryland,Baltimore County,Maryland,Anne Arundel County,24340,Annapolis City Marina
49344,24003,24009,Maryland,Calvert County,Maryland,Anne Arundel County,2992,Annapolis City Marina
49346,24003,24013,Maryland,Carroll County,Maryland,Anne Arundel County,5049,Annapolis City Marina
49352,24003,24025,Maryland,Harford County,Maryland,Anne Arundel County,3420,Annapolis City Marina
49353,24003,24027,Maryland,Howard County,Maryland,Anne Arundel County,17598,Annapolis City Marina
49355,24003,24031,Maryland,Montgomery County,Maryland,Anne Arundel County,5249,Annapolis City Marina
49356,24003,24033,Maryland,Prince George's County,Maryland,Anne Arundel County,16075,Annapolis City Marina
49357,24003,24035,Maryland,Queen Anne's County,Maryland,Anne Arundel County,5817,Annapolis City Marina
49363,24003,24510,Maryland,Baltimore city,Maryland,Anne Arundel County,17180,Annapolis City Marina
50653,24033,11001,District of Columbia,District of Columbia,Maryland,Prince George's County,16214,Ardwick Industrial Plaza
50685,24033,24003,Maryland,Anne Arundel County,Maryland,Prince George's County,27927,Ardwick Industrial Plaza
50686,24033,24005,Maryland,Baltimore County,Maryland,Prince George's County,6127,Ardwick Industrial Plaza
50687,24033,24009,Maryland,Calvert County,Maryland,Prince George's County,9316,Ardwick Industrial Plaza
50691,24033,24017,Maryland,Charles County,Maryland,Prince George's County,14062,Ardwick Industrial Plaza
50696,24033,24027,Maryland,Howard County,Maryland,Prince George's County,14783,Ardwick Industrial Plaza
50698,24033,24031,Maryland,Montgomery County,Maryland,Prince George's County,30835,Ardwick Industrial Plaza
50699,24033,24033,Maryland,Prince George's County,Maryland,Prince George's County,177993,Ardwick Industrial Plaza
50707,24033,24510,Maryland,Baltimore city,Maryland,Prince George's County,3671,Ardwick Industrial Plaza
50811,24033,51059,Virginia,Fairfax County,Maryland,Prince George's County,11051,Ardwick Industrial Plaza
12497,8093,8001,Colorado,Adams County,Colorado,Park County,69,Arvada Warehouse
12498,8093,8015,Colorado,Chaffee County,Colorado,Park County,51,Arvada Warehouse
12501,8093,8035,Colorado,Douglas County,Colorado,Park County,49,Arvada Warehouse
12503,8093,8059,Colorado,Jefferson County,Colorado,Park County,175,Arvada Warehouse
12504,8093,8065,Colorado,Lake County,Colorado,Park County,104,Arvada Warehouse
12505,8093,8093,Colorado,Park County,Colorado,Park County,3117,Arvada Warehouse
12507,8093,8117,Colorado,Summit County,Colorado,Park County,100,Arvada Warehouse
12508,8093,8119,Colorado,Teller County,Colorado,Park County,157,Arvada Warehouse
102489,44009,9011,Connecticut,New London County,Rhode Island,Washington County,2798,Atlantic Coastal Environmental Science Division
102503,44009,25005,Massachusetts,Bristol County,Rhode Island,Washington County,625,Atlantic Coastal Environmental Science Division
102527,44009,44003,Rhode Island,Kent County,Rhode Island,Washington County,7772,Atlantic Coastal Environmental Science Division
102528,44009,44005,Rhode Island,Newport County,Rhode Island,Washington County,1628,Atlantic Coastal Environmental Science Division
102529,44009,44007,Rhode Island,Providence County,Rhode Island,Washington County,5844,Atlantic Coastal Environmental Science Division
102530,44009,44009,Rhode Island,Washington County,Rhode Island,Washington County,35193,Atlantic Coastal Environmental Science Division
83188,37119,37025,North Carolina,Cabarrus County,North Carolina,Mecklenburg County,31431,Azalea Property
83204,37119,37071,North Carolina,Gaston County,North Carolina,Mecklenburg County,25417,Azalea Property
83211,37119,37097,North Carolina,Iredell County,North Carolina,Mecklenburg County,12960,Azalea Property
83215,37119,37109,North Carolina,Lincoln County,North Carolina,Mecklenburg County,9305,Azalea Property
83216,37119,37119,North Carolina,Mecklenburg County,North Carolina,Mecklenburg County,427172,Azalea Property
83239,37119,37179,North Carolina,Union County,North Carolina,Mecklenburg County,41169,Azalea Property
83317,37119,45057,South Carolina,Lancaster County,North Carolina,Mecklenburg County,7437,Azalea Property
83329,37119,45091,South Carolina,York County,North Carolina,Mecklenburg County,33661,Azalea Property
24857,16001,16001,Idaho,Ada County,Idaho,Ada County,181626,Banner Bank Building
24865,16001,16027,Idaho,Canyon County,Idaho,Ada County,27337,Banner Bank Building
85279,38015,38015,North Dakota,Burleigh County,North Dakota,Burleigh County,41684,Bismarck CID
85295,38015,38059,North Dakota,Morton County,North Dakota,Burleigh County,7824,Bismarck CID
16617,12086,12011,Florida,Broward County,Florida,Miami-Dade County,136169,Brickell Plaza Federal Office Building
16639,12086,12086,Florida,Miami-Dade County,Florida,Miami-Dade County,1094476,Brickell Plaza Federal Office Building
76616,36029,36029,New York,Erie County,New York,Erie County,404471,Buffalo Office - Region 2
76630,36029,36063,New York,Niagara County,New York,Erie County,36227,Buffalo Office - Region 2
71296,32003,32003,Nevada,Clark County,Nevada,Clark County,896293,Building 16B Spectrum
46281,22033,22005,Louisiana,Ascension Parish,Louisiana,East Baton Rouge Parish,19479,Business Bank Centre (6100 Corporate Boulevard)
46291,22033,22033,Louisiana,East Baton Rouge Parish,Louisiana,East Baton Rouge Parish,186286,Business Bank Centre (6100 Corporate Boulevard)
46293,22033,22037,Louisiana,East Feliciana Parish,Louisiana,East Baton Rouge Parish,3117,Business Bank Centre (6100 Corporate Boulevard)
46298,22033,22047,Louisiana,Iberville Parish,Louisiana,East Baton Rouge Parish,3662,Business Bank Centre (6100 Corporate Boulevard)
46306,22033,22063,Louisiana,Livingston Parish,Louisiana,East Baton Rouge Parish,26911,Business Bank Centre (6100 Corporate Boulevard)
46326,22033,22105,Louisiana,Tangipahoa Parish,Louisiana,East Baton Rouge Parish,2761,Business Bank Centre (6100 Corporate Boulevard)
46332,22033,22121,Louisiana,West Baton Rouge Parish,Louisiana,East Baton Rouge Parish,5318,Business Bank Centre (6100 Corporate Boulevard)
49342,24003,24003,Maryland,Anne Arundel County,Maryland,Anne Arundel County,168876,CBPO Office
49343,24003,24005,Maryland,Baltimore County,Maryland,Anne Arundel County,24340,CBPO Office
49344,24003,24009,Maryland,Calvert County,Maryland,Anne Arundel County,2992,CBPO Office
49346,24003,24013,Maryland,Carroll County,Maryland,Anne Arundel County,5049,CBPO Office
49352,24003,24025,Maryland,Harford County,Maryland,Anne Arundel County,3420,CBPO Office
49353,24003,24027,Maryland,Howard County,Maryland,Anne Arundel County,17598,CBPO Office
49355,24003,24031,Maryland,Montgomery County,Maryland,Anne Arundel County,5249,CBPO Office
49356,24003,24033,Maryland,Prince George's County,Maryland,Anne Arundel County,16075,CBPO Office
49357,24003,24035,Maryland,Queen Anne's County,Maryland,Anne Arundel County,5817,CBPO Office
49363,24003,24510,Maryland,Baltimore city,Maryland,Anne Arundel County,17180,CBPO Office
21852,13135,13013,Georgia,Barrow County,Georgia,Gwinnett County,10322,Carter-Pacific Business Center
21863,13135,13067,Georgia,Cobb County,Georgia,Gwinnett County,8382,Carter-Pacific Business Center
21869,13135,13089,Georgia,DeKalb County,Georgia,Gwinnett County,29218,Carter-Pacific Business Center
21877,13135,13117,Georgia,Forsyth County,Georgia,Gwinnett County,8215,Carter-Pacific Business Center
21879,13135,13121,Georgia,Fulton County,Georgia,Gwinnett County,19688,Carter-Pacific Business Center
21884,13135,13135,Georgia,Gwinnett County,Georgia,Gwinnett County,235104,Carter-Pacific Business Center
21886,13135,13139,Georgia,Hall County,Georgia,Gwinnett County,10139,Carter-Pacific Business Center
21891,13135,13157,Georgia,Jackson County,Georgia,Gwinnett County,3789,Carter-Pacific Business Center
21924,13135,13297,Georgia,Walton County,Georgia,Gwinnett County,8307,Carter-Pacific Business Center
89568,39061,18029,Indiana,Dearborn County,Ohio,Hamilton County,8047,Center Hill Business Park
89600,39061,21015,Kentucky,Boone County,Ohio,Hamilton County,10386,Center Hill Business Park
89604,39061,21037,Kentucky,Campbell County,Ohio,Hamilton County,14899,Center Hill Business Park
89618,39061,21117,Kentucky,Kenton County,Ohio,Hamilton County,18746,Center Hill Business Park
89698,39061,39017,Ohio,Butler County,Ohio,Hamilton County,48733,Center Hill Business Park
89701,39061,39025,Ohio,Clermont County,Ohio,Hamilton County,38856,Center Hill Business Park
89713,39061,39061,Ohio,Hamilton County,Ohio,Hamilton County,304920,Center Hill Business Park
89749,39061,39165,Ohio,Warren County,Ohio,Hamilton County,27975,Center Hill Business Park
89568,39061,18029,Indiana,Dearborn County,Ohio,Hamilton County,8047,Center Hill Research Facility
89600,39061,21015,Kentucky,Boone County,Ohio,Hamilton County,10386,Center Hill Research Facility
89604,39061,21037,Kentucky,Campbell County,Ohio,Hamilton County,14899,Center Hill Research Facility
89618,39061,21117,Kentucky,Kenton County,Ohio,Hamilton County,18746,Center Hill Research Facility
89698,39061,39017,Ohio,Butler County,Ohio,Hamilton County,48733,Center Hill Research Facility
89701,39061,39025,Ohio,Clermont County,Ohio,Hamilton County,38856,Center Hill Research Facility
89713,39061,39061,Ohio,Hamilton County,Ohio,Hamilton County,304920,Center Hill Research Facility
89749,39061,39165,Ohio,Warren County,Ohio,Hamilton County,27975,Center Hill Research Facility
96245,41041,41041,Oregon,Lincoln County,Oregon,Lincoln County,17882,Coastal Ecology Branch
14053,11001,11001,District of Columbia,District of Columbia,District of Columbia,District of Columbia,252256,Connecting Wing
14139,11001,24003,Maryland,Anne Arundel County,District of Columbia,District of Columbia,18474,Connecting Wing
14145,11001,24017,Maryland,Charles County,District of Columbia,District of Columbia,15719,Connecting Wing
14150,11001,24027,Maryland,Howard County,District of Columbia,District of Columbia,9226,Connecting Wing
14152,11001,24031,Maryland,Montgomery County,District of Columbia,District of Columbia,111756,Connecting Wing
14153,11001,24033,Maryland,Prince George's County,District of Columbia,District of Columbia,139856,Connecting Wing
14414,11001,51013,Virginia,Arlington County,District of Columbia,District of Columbia,49463,Connecting Wing
14425,11001,51059,Virginia,Fairfax County,District of Columbia,District of Columbia,96224,Connecting Wing
14437,11001,51107,Virginia,Loudoun County,District of Columbia,District of Columbia,10600,Connecting Wing
14451,11001,51153,Virginia,Prince William County,District of Columbia,District of Columbia,22904,Connecting Wing
14464,11001,51510,Virginia,Alexandria city,District of Columbia,District of Columbia,27707,Connecting Wing
25355,16055,16017,Idaho,Bonner County,Idaho,Kootenai County,1227,Couer D' Alene Office
25358,16055,16055,Idaho,Kootenai County,Idaho,Kootenai County,50193,Couer D' Alene Office
25377,16055,53063,Washington,Spokane County,Idaho,Kootenai County,3856,Couer D' Alene Office
49949,24021,24013,Maryland,Carroll County,Maryland,Frederick County,3102,DUSWM Administration Building
49952,24021,24021,Maryland,Frederick County,Maryland,Frederick County,71718,DUSWM Administration Building
49956,24021,24031,Maryland,Montgomery County,Maryland,Frederick County,5972,DUSWM Administration Building
49961,24021,24043,Maryland,Washington County,Maryland,Frederick County,9047,DUSWM Administration Building
49981,24021,42001,Pennsylvania,Adams County,Maryland,Frederick County,2668,DUSWM Administration Building
49992,24021,42055,Pennsylvania,Franklin County,Maryland,Frederick County,2104,DUSWM Administration Building
50030,24021,54003,West Virginia,Berkeley County,Maryland,Frederick County,1255,DUSWM Administration Building
50032,24021,54037,West Virginia,Jefferson County,Maryland,Frederick County,1829,DUSWM Administration Building
11996,8059,8001,Colorado,Adams County,Colorado,Jefferson County,24452,Denver Federal Center
11997,8059,8005,Colorado,Arapahoe County,Colorado,Jefferson County,14427,Denver Federal Center
11999,8059,8013,Colorado,Boulder County,Colorado,Jefferson County,4655,Denver Federal Center
12000,8059,8014,Colorado,Broomfield County,Colorado,Jefferson County,3374,Denver Federal Center
